Team,RPI
Coastal Car,0.482
Canisius,0.48
Norfolk St,0.479
Siena,0.479
Lg Beach St,0.478
New Orleans,0.475
Navy,0.474
Fla Gulf Cst,0.473
Oakland,0.471
Rob Morris,0.469
Boise State,0.469
NC A&T,0.468
Hawaii,0.468
Vanderbilt,0.467
SE Louisiana,0.467
Morehead St,0.467
IPFW,0.467
Boston U,0.466
Monmouth,0.466
IL-Chicago,0.466
Air Force,0.466
Presbyterian,0.466
High Point,0.465
S Utah,0.464
Colorado St,0.464
E Kentucky,0.464
Valparaiso,0.463
St Fran,0.463
Rice,0.462
Arkansas St,0.461
Charl South,0.46
Quinnipiac,0.46
Montana St,0.459
Drexel,0.459
Hampton,0.459
Citadel,0.459
Middle Tenn,0.459
Army,0.459
Detroit,0.458
American,0.458
LIU-Brooklyn,0.457
UMKC,0.457
IUPUI,0.457
Richmond,0.456
Troy,0.456
Mass Lowell,0.456
Mercer,0.455
Sacred Hrt,0.455
Chattanooga,0.454
S Alabama,0.454
California,0.453
Portland St,0.452
Sac State,0.451
Wash State,0.451
Columbia,0.451
James Mad,0.45
Wagner,0.449
NC-Wilmgton,0.449
Geo Wshgtn,0.448
Dartmouth,0.447
La Salle,0.447
E Illinois,0.445
South Dakota,0.444
E Carolina,0.444
Lafayette,0.443
App State,0.443
U Mass,0.443
Evansville,0.443
Idaho State,0.442
NC Central,0.441
Elon,0.44
Loyola-MD,0.44
Cal St Nrdge,0.44
TX A&M-CC,0.439
Grambling St,0.437
North Alabama,0.437
Central Ark,0.437
VA Military,0.436
AR Lit Rock,0.436
W Michigan,0.435
Marist,0.435
Central Conn,0.435
UC Davis,0.434
Albany,0.433
W Carolina,0.431
Ark Pine Bl,0.431
TN Martin,0.431
Saint Mary’s,0.43
Florida A&M,0.43
Ste F Austin,0.43
N Arizona,0.429
Tulane,0.429
Youngs St,0.428
North Dakota,0.428
Towson,0.428
Howard,0.427
Houston Bap,0.427
Charlotte,0.426
Oral Roberts,0.426
SE Missouri,0.424
Jacksonville,0.424
TN State,0.422
Binghamton,0.422
Alabama St,0.421
Nicholls St,0.421
Niagara,0.421
Fordham,0.42
Longwood,0.418
Cleveland St,0.418
Manhattan,0.418
TN Tech,0.415
Bryant,0.414
WI-Milwkee,0.411
St Peters,0.41
Denver,0.41
Jackson St,0.409
Beth-Cook,0.407
Portland,0.407
SIU Edward,0.406
UC Riverside,0.406
Coppin State,0.406
Wyoming,0.404
Fairfield,0.403
TX El Paso,0.401
NW State,0.4
Savannah St,0.399
McNeese St,0.398
Kennesaw St,0.395
W Illinois,0.391
Maine,0.389
Chicago St,0.386
San Jose St,0.38
Stetson,0.375
Cal Poly,0.374
S Car State,0.373
Morgan St,0.37
Southern,0.369
Idaho,0.369
Incar Word,0.369
NC-Asheville,0.366
Alcorn State,0.364
Maryland ES,0.364
N Hampshire,0.359
Miss Val St,0.355
Delaware St,0.349
SC Upstate,0.347
Alab A&M,0.344
